,Hunk_Type,Size
0,Buggy_Hunk,11
1,Fixed_Hunk,11
2,Buggy_Hunk,14
3,Fixed_Hunk,14
4,Buggy_Hunk,7
5,Fixed_Hunk,7
6,Buggy_Hunk,39
7,Fixed_Hunk,39
8,Buggy_Hunk,27
9,Fixed_Hunk,27
10,Buggy_Hunk,9
11,Fixed_Hunk,9
12,Buggy_Hunk,20
13,Fixed_Hunk,20
14,Buggy_Hunk,22
15,Fixed_Hunk,14
16,Buggy_Hunk,29
17,Fixed_Hunk,21
18,Buggy_Hunk,25
19,Fixed_Hunk,32
20,Buggy_Hunk,13
21,Fixed_Hunk,13
22,Buggy_Hunk,10
23,Fixed_Hunk,10
24,Buggy_Hunk,7
25,Fixed_Hunk,7
26,Buggy_Hunk,11
27,Fixed_Hunk,10
28,Buggy_Hunk,10
29,Fixed_Hunk,10
30,Buggy_Hunk,7
31,Fixed_Hunk,7
32,Buggy_Hunk,7
33,Fixed_Hunk,7
34,Buggy_Hunk,7
35,Fixed_Hunk,7
36,Buggy_Hunk,6
37,Fixed_Hunk,6
38,Buggy_Hunk,22
39,Fixed_Hunk,22
40,Buggy_Hunk,7
41,Fixed_Hunk,7
42,Buggy_Hunk,9
43,Fixed_Hunk,9
44,Buggy_Hunk,44
45,Fixed_Hunk,44
46,Buggy_Hunk,30
47,Fixed_Hunk,30
48,Buggy_Hunk,11
49,Fixed_Hunk,11
50,Buggy_Hunk,18
51,Fixed_Hunk,12
52,Buggy_Hunk,55
53,Fixed_Hunk,57
54,Buggy_Hunk,53
55,Fixed_Hunk,66
56,Buggy_Hunk,7
57,Fixed_Hunk,7
58,Buggy_Hunk,7
59,Fixed_Hunk,7
60,Buggy_Hunk,6
61,Fixed_Hunk,8
62,Buggy_Hunk,6
63,Fixed_Hunk,8
64,Buggy_Hunk,9
65,Fixed_Hunk,14
66,Buggy_Hunk,7
67,Fixed_Hunk,7
68,Buggy_Hunk,14
69,Fixed_Hunk,14
70,Buggy_Hunk,12
71,Fixed_Hunk,12
72,Buggy_Hunk,15
73,Fixed_Hunk,15
74,Buggy_Hunk,15
75,Fixed_Hunk,12
76,Buggy_Hunk,63
77,Fixed_Hunk,63
78,Buggy_Hunk,18
79,Fixed_Hunk,18
80,Buggy_Hunk,9
81,Fixed_Hunk,9
82,Buggy_Hunk,30
83,Fixed_Hunk,30
84,Buggy_Hunk,19
85,Fixed_Hunk,19
86,Buggy_Hunk,22
87,Fixed_Hunk,22
88,Buggy_Hunk,15
89,Fixed_Hunk,15
90,Buggy_Hunk,98
91,Fixed_Hunk,98
92,Buggy_Hunk,25
93,Fixed_Hunk,20
94,Buggy_Hunk,14
95,Fixed_Hunk,11
96,Buggy_Hunk,7
97,Fixed_Hunk,7
98,Buggy_Hunk,9
99,Fixed_Hunk,6
100,Buggy_Hunk,6
101,Fixed_Hunk,12
102,Buggy_Hunk,10
103,Fixed_Hunk,10
104,Buggy_Hunk,9
105,Fixed_Hunk,10
106,Buggy_Hunk,7
107,Fixed_Hunk,7
108,Buggy_Hunk,7
109,Fixed_Hunk,7
110,Buggy_Hunk,6
111,Fixed_Hunk,6
112,Buggy_Hunk,15
113,Fixed_Hunk,15
114,Buggy_Hunk,9
115,Fixed_Hunk,9
116,Buggy_Hunk,16
117,Fixed_Hunk,16
118,Buggy_Hunk,57
119,Fixed_Hunk,57
120,Buggy_Hunk,23
121,Fixed_Hunk,23
122,Buggy_Hunk,7
123,Fixed_Hunk,7
124,Buggy_Hunk,8
125,Fixed_Hunk,8
126,Buggy_Hunk,33
127,Fixed_Hunk,19
128,Buggy_Hunk,6
129,Fixed_Hunk,14
130,Buggy_Hunk,7
131,Fixed_Hunk,7
132,Buggy_Hunk,7
133,Fixed_Hunk,8
134,Buggy_Hunk,6
135,Fixed_Hunk,7
136,Buggy_Hunk,6
137,Fixed_Hunk,7
138,Buggy_Hunk,6
139,Fixed_Hunk,7
140,Buggy_Hunk,6
141,Fixed_Hunk,7
142,Buggy_Hunk,6
143,Fixed_Hunk,7
144,Buggy_Hunk,6
145,Fixed_Hunk,7
146,Buggy_Hunk,8
147,Fixed_Hunk,8
148,Buggy_Hunk,6
149,Fixed_Hunk,6
150,Buggy_Hunk,28
151,Fixed_Hunk,28
152,Buggy_Hunk,6
153,Fixed_Hunk,12
154,Buggy_Hunk,6
155,Fixed_Hunk,13
156,Buggy_Hunk,10
157,Fixed_Hunk,10
158,Buggy_Hunk,17
159,Fixed_Hunk,17
160,Buggy_Hunk,20
161,Fixed_Hunk,17
162,Buggy_Hunk,72
163,Fixed_Hunk,91
164,Buggy_Hunk,6
165,Fixed_Hunk,6
166,Buggy_Hunk,45
167,Fixed_Hunk,45
168,Buggy_Hunk,15
169,Fixed_Hunk,15
170,Buggy_Hunk,38
171,Fixed_Hunk,38
172,Buggy_Hunk,7
173,Fixed_Hunk,7
174,Buggy_Hunk,10
175,Fixed_Hunk,10
176,Buggy_Hunk,7
177,Fixed_Hunk,7
178,Buggy_Hunk,20
179,Fixed_Hunk,20
180,Buggy_Hunk,7
181,Fixed_Hunk,7
182,Buggy_Hunk,12
183,Fixed_Hunk,12
184,Buggy_Hunk,34
185,Fixed_Hunk,12
186,Buggy_Hunk,53
187,Fixed_Hunk,55
188,Buggy_Hunk,53
189,Fixed_Hunk,66
190,Buggy_Hunk,6
191,Fixed_Hunk,7
192,Buggy_Hunk,7
193,Fixed_Hunk,8
194,Buggy_Hunk,6
195,Fixed_Hunk,6
196,Buggy_Hunk,38
197,Fixed_Hunk,38
198,Buggy_Hunk,6
199,Fixed_Hunk,12
200,Buggy_Hunk,7
201,Fixed_Hunk,7
202,Buggy_Hunk,16
203,Fixed_Hunk,16
204,Buggy_Hunk,30
205,Fixed_Hunk,14
206,Buggy_Hunk,40
207,Fixed_Hunk,46
208,Buggy_Hunk,69
209,Fixed_Hunk,81
210,Buggy_Hunk,6
211,Fixed_Hunk,7
212,Buggy_Hunk,6
213,Fixed_Hunk,13
214,Buggy_Hunk,7
215,Fixed_Hunk,8
216,Buggy_Hunk,6
217,Fixed_Hunk,7
218,Buggy_Hunk,6
219,Fixed_Hunk,7
220,Buggy_Hunk,6
221,Fixed_Hunk,7
222,Buggy_Hunk,6
223,Fixed_Hunk,7
224,Buggy_Hunk,6
225,Fixed_Hunk,7
226,Buggy_Hunk,6
227,Fixed_Hunk,7
228,Buggy_Hunk,7
229,Fixed_Hunk,7
230,Buggy_Hunk,11
231,Fixed_Hunk,13
232,Buggy_Hunk,7
233,Fixed_Hunk,7
234,Buggy_Hunk,38
235,Fixed_Hunk,35
236,Buggy_Hunk,7
237,Fixed_Hunk,7
238,Buggy_Hunk,11
239,Fixed_Hunk,11
240,Buggy_Hunk,10
241,Fixed_Hunk,10
242,Buggy_Hunk,7
243,Fixed_Hunk,7
244,Buggy_Hunk,7
245,Fixed_Hunk,8
246,Buggy_Hunk,7
247,Fixed_Hunk,7
248,Buggy_Hunk,7
249,Fixed_Hunk,9
250,Buggy_Hunk,37
251,Fixed_Hunk,37
252,Buggy_Hunk,8
253,Fixed_Hunk,8
254,Buggy_Hunk,6
255,Fixed_Hunk,7
256,Buggy_Hunk,6
257,Fixed_Hunk,35
258,Buggy_Hunk,7
259,Fixed_Hunk,7
260,Buggy_Hunk,7
261,Fixed_Hunk,7
262,Buggy_Hunk,7
263,Fixed_Hunk,7
264,Buggy_Hunk,7
265,Fixed_Hunk,7
266,Buggy_Hunk,8
267,Fixed_Hunk,8
268,Buggy_Hunk,7
269,Fixed_Hunk,7
270,Buggy_Hunk,10
271,Fixed_Hunk,10
272,Buggy_Hunk,7
273,Fixed_Hunk,7
274,Buggy_Hunk,11
275,Fixed_Hunk,11
276,Buggy_Hunk,6
277,Fixed_Hunk,6
278,Buggy_Hunk,28
279,Fixed_Hunk,28
280,Buggy_Hunk,32
281,Fixed_Hunk,32
282,Buggy_Hunk,31
283,Fixed_Hunk,31
284,Buggy_Hunk,19
285,Fixed_Hunk,19
286,Buggy_Hunk,15
287,Fixed_Hunk,12
288,Buggy_Hunk,50
289,Fixed_Hunk,50
290,Buggy_Hunk,7
291,Fixed_Hunk,8
292,Buggy_Hunk,7
293,Fixed_Hunk,8
294,Buggy_Hunk,7
295,Fixed_Hunk,7
296,Buggy_Hunk,6
297,Fixed_Hunk,6
