,update,delete,insert,move
HdlDirection-HdlIdDef,84.0,17.0,8.0,
HdlOp-InfixExpression-HdlStmIf,386.0,56.0,87.0,83.0
HdlOp-InfixExpression-HdlOp-InfixExpression,441.0,57.0,58.0,33.0
HdlOp-MemberAccessing-HdlStmAssign,189.0,24.0,34.0,36.0
HdlOp-Assignment-HdlStmIf,10.0,10.0,2.0,
HdlOp-InfixExpression-HdlStmAssign,118.0,19.0,16.0,14.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,25.0,6.0,14.0,5.0
HdlOp-PARAMETRIZATION-HdlIdDef,449.0,21.0,17.0,14.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,424.0,2.0,7.0,
HdlOp-InfixExpression-HdlOp-DOWNTO,418.0,4.0,61.0,
HdlOp-DOWNTO-HdlOp-MemberAccessing,225.0,6.0,13.0,1.0
HdlOp-InfixExpression-HdlIdDef,31.0,1.0,3.0,5.0
HdlOp-TERNARY-HdlStmAssign,175.0,23.0,23.0,5.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,128.0,19.0,37.0,7.0
HdlOp-InfixExpression-HdlOp-TERNARY,122.0,17.0,31.0,20.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,105.0,17.0,6.0,13.0
HdlOp-MemberAccessing-HdlIdDef,50.0,1.0,2.0,1.0
HdlOp-PrefixExpression-HdlStmAssign,11.0,2.0,2.0,2.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,34.0,1.0,4.0,
HdlOp-FunctionCall-HdlStmAssign,42.0,9.0,2.0,
HdlOp-Assignment-HdlStmCase,37.0,12.0,5.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,22.0,3.0,8.0,4.0
HdlOp-TERNARY-HdlOp-TERNARY,18.0,4.0,17.0,
HdlOp-TERNARY-HdlIdDef,18.0,1.0,3.0,1.0
HdlOp-Assignment-HdlStmProcess,16.0,12.0,8.0,1.0
HdlOp-InfixExpression-HdlStmFor,19.0,1.0,1.0,3.0
HdlOp-PARAMETRIZATION-HdlFunctionDef,13.0,,,
HdlOp-Assignment-HdlFunctionDef,23.0,,4.0,
HdlOp-MemberAccessing-HdlOp-Assignment,17.0,,5.0,14.0
HdlOp-PrefixExpression-HdlOp-Assignment,6.0,,,
HdlOp-InfixExpression-HdlOp-PrefixExpression,8.0,,,
HdlOp-MemberAccessing-HdlOp-FunctionCall,28.0,,,
HdlOp-RISING-HdlStmProcess,9.0,6.0,6.0,2.0
HdlOp-InfixExpression-HdlOp-Assignment,12.0,,5.0,
HdlOp-FunctionCall-HdlIdDef,2.0,,1.0,
HdlOp-InfixExpression-HdlOp-FunctionCall,4.0,,2.0,
HdlOp-Assignment-HdlStmFor,2.0,2.0,1.0,2.0
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,3.0,,,
HdlOp-PrefixExpression-HdlOp-PrefixExpression,5.0,,,
HdlOp-MemberAccessing-HdlStmCase,5.0,,5.0,
HdlOp-PrefixExpression-HdlOp-MemberAccessing,3.0,2.0,1.0,2.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,5.0,,,2.0
HdlOp-FALLING-HdlStmProcess,3.0,1.0,,
HdlOp-PrefixExpression-HdlOp-TERNARY,1.0,1.0,1.0,
HdlOp-MemberAccessing-HdlStmIf,1.0,,2.0,2.0
HdlOp-MAP_ASSOCIATION-HdlStmAssign,1.0,,1.0,
HdlOp-FunctionCall-HdlOp-InfixExpression,5.0,,,
HdlOp-TERNARY-HdlOp-InfixExpression,,,1.0,
