,Hunk_Type,Size
0,Buggy_Hunk,12
1,Fixed_Hunk,6
2,Buggy_Hunk,27
3,Fixed_Hunk,13
4,Buggy_Hunk,6
5,Fixed_Hunk,7
6,Buggy_Hunk,6
7,Fixed_Hunk,7
8,Buggy_Hunk,6
9,Fixed_Hunk,63
10,Buggy_Hunk,7
11,Fixed_Hunk,7
12,Buggy_Hunk,7
13,Fixed_Hunk,7
14,Buggy_Hunk,7
15,Fixed_Hunk,7
16,Buggy_Hunk,7
17,Fixed_Hunk,7
18,Buggy_Hunk,7
19,Fixed_Hunk,7
20,Buggy_Hunk,7
21,Fixed_Hunk,7
22,Buggy_Hunk,7
23,Fixed_Hunk,7
24,Buggy_Hunk,7
25,Fixed_Hunk,7
26,Buggy_Hunk,7
27,Fixed_Hunk,7
28,Buggy_Hunk,6
29,Fixed_Hunk,11
30,Buggy_Hunk,6
31,Fixed_Hunk,9
32,Buggy_Hunk,4
33,Fixed_Hunk,26
34,Buggy_Hunk,22
35,Fixed_Hunk,51
36,Buggy_Hunk,32
37,Fixed_Hunk,43
38,Buggy_Hunk,7
39,Fixed_Hunk,7
40,Buggy_Hunk,11
41,Fixed_Hunk,10
42,Buggy_Hunk,18
43,Fixed_Hunk,24
44,Buggy_Hunk,7
45,Fixed_Hunk,8
46,Buggy_Hunk,7
47,Fixed_Hunk,8
48,Buggy_Hunk,7
49,Fixed_Hunk,8
50,Buggy_Hunk,7
51,Fixed_Hunk,8
52,Buggy_Hunk,7
53,Fixed_Hunk,8
54,Buggy_Hunk,7
55,Fixed_Hunk,8
56,Buggy_Hunk,7
57,Fixed_Hunk,8
58,Buggy_Hunk,7
59,Fixed_Hunk,7
60,Buggy_Hunk,6
61,Fixed_Hunk,10
62,Buggy_Hunk,7
63,Fixed_Hunk,10
64,Buggy_Hunk,7
65,Fixed_Hunk,7
66,Buggy_Hunk,10
67,Fixed_Hunk,10
68,Buggy_Hunk,12
69,Fixed_Hunk,12
70,Buggy_Hunk,7
71,Fixed_Hunk,7
72,Buggy_Hunk,7
73,Fixed_Hunk,7
74,Buggy_Hunk,7
75,Fixed_Hunk,7
76,Buggy_Hunk,7
77,Fixed_Hunk,7
78,Buggy_Hunk,7
79,Fixed_Hunk,7
80,Buggy_Hunk,7
81,Fixed_Hunk,7
82,Buggy_Hunk,7
83,Fixed_Hunk,7
84,Buggy_Hunk,7
85,Fixed_Hunk,7
86,Buggy_Hunk,7
87,Fixed_Hunk,7
88,Buggy_Hunk,7
89,Fixed_Hunk,7
90,Buggy_Hunk,7
91,Fixed_Hunk,7
92,Buggy_Hunk,7
93,Fixed_Hunk,7
94,Buggy_Hunk,7
95,Fixed_Hunk,7
96,Buggy_Hunk,7
97,Fixed_Hunk,7
98,Buggy_Hunk,7
99,Fixed_Hunk,7
100,Buggy_Hunk,7
101,Fixed_Hunk,7
102,Buggy_Hunk,7
103,Fixed_Hunk,7
104,Buggy_Hunk,7
105,Fixed_Hunk,7
106,Buggy_Hunk,7
107,Fixed_Hunk,7
108,Buggy_Hunk,7
109,Fixed_Hunk,7
110,Buggy_Hunk,7
111,Fixed_Hunk,7
112,Buggy_Hunk,7
113,Fixed_Hunk,7
114,Buggy_Hunk,7
115,Fixed_Hunk,7
116,Buggy_Hunk,7
117,Fixed_Hunk,7
118,Buggy_Hunk,7
119,Fixed_Hunk,7
120,Buggy_Hunk,7
121,Fixed_Hunk,7
122,Buggy_Hunk,7
123,Fixed_Hunk,7
124,Buggy_Hunk,7
125,Fixed_Hunk,7
126,Buggy_Hunk,7
127,Fixed_Hunk,7
128,Buggy_Hunk,7
129,Fixed_Hunk,7
130,Buggy_Hunk,7
131,Fixed_Hunk,7
132,Buggy_Hunk,7
133,Fixed_Hunk,7
134,Buggy_Hunk,7
135,Fixed_Hunk,7
136,Buggy_Hunk,7
137,Fixed_Hunk,7
138,Buggy_Hunk,7
139,Fixed_Hunk,7
140,Buggy_Hunk,7
141,Fixed_Hunk,7
142,Buggy_Hunk,7
143,Fixed_Hunk,7
144,Buggy_Hunk,7
