,update,delete,insert,move
HdlOp-MemberAccessing-HdlStmAssign,11.0,7.0,2.0,1.0
HdlOp-RANGE-HdlIdDef,3.0,,,
HdlOp-TO-HdlOp-RANGE,3.0,,,
HdlOp-InfixExpression-HdlStmAssign,4.0,,3.0,
HdlOp-MAP_ASSOCIATION-HdlStmAssign,1.0,,,
HdlOp-MemberAccessing-HdlIdDef,1.0,1.0,,
HdlOp-MemberAccessing-HdlStmCase,1.0,,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,4.0,1.0,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,1.0,,,
HdlOp-MemberAccessing-HdlStmReturn,1.0,,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,3.0,3.0,,
HdlOp-MemberAccessing-HdlOp-InfixExpression,2.0,2.0,,
HdlOp-TERNARY-HdlStmAssign,2.0,1.0,,
HdlOp-InfixExpression-HdlOp-TERNARY,1.0,,,
HdlOp-InfixExpression-HdlStmIf,1.0,,,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,1.0,,,
HdlOp-MemberAccessing-HdlOp-TERNARY,,1.0,,1.0
HdlOp-MemberAccessing-HdlStmIf,,,1.0,
