,insert,update,move,delete
HdlOp-MemberAccessing-HdlStmAssign,38.0,148.0,74.0,64.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,23.0,77.0,45.0,31.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,21.0,46.0,1.0,41.0
HdlOp-InfixExpression-HdlStmAssign,10.0,71.0,15.0,14.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,10.0,21.0,13.0,7.0
HdlOp-InfixExpression-HdlOp-InfixExpression,40.0,166.0,58.0,32.0
HdlOp-InfixExpression-HdlStmIf,50.0,102.0,60.0,34.0
HdlOp-FunctionCall-HdlModuleDef,43.0,44.0,20.0,11.0
HdlOp-MemberAccessing-HdlOp-FunctionCall,2.0,2.0,2.0,
HdlOp-InfixExpression-HdlOp-DOWNTO,6.0,25.0,,14.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,19.0,81.0,13.0,16.0
HdlDirection-HdlIdDef,9.0,3.0,,7.0
HdlOp-MAP_ASSOCIATION-HdlIdDef,421.0,8.0,,433.0
HdlOp-MAP_ASSOCIATION-HdlStmAssign,1.0,78.0,9.0,
HdlOp-MemberAccessing-HdlStmProcess,1.0,,,1.0
HdlOp-MemberAccessing-HdlIdDef,11.0,49.0,4.0,5.0
HdlOp-MemberAccessing-HdlStmIf,2.0,3.0,34.0,8.0
HdlOp-TERNARY-HdlStmAssign,6.0,27.0,2.0,4.0
HdlOp-InfixExpression-HdlOp-TERNARY,4.0,18.0,4.0,3.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,2.0,5.0,,
HdlOp-PrefixExpression-HdlStmAssign,1.0,1.0,,
HdlOp-TO-HdlOp-MemberAccessing,,6.0,3.0,1.0
HdlOp-TO-HdlStmForIn,,14.0,,4.0
HdlOp-InfixExpression-HdlOp-TO,,22.0,4.0,
HdlOp-InfixExpression-HdlOp-MemberAccessing,,11.0,1.0,
HdlOp-TERNARY-HdlOp-TERNARY,,3.0,,
HdlOp-InfixExpression-HdlOp-PrefixExpression,,37.0,,
HdlOp-PrefixExpression-HdlOp-FunctionCall,,35.0,,
HdlOp-MAP_ASSOCIATION-HdlOp-TERNARY,,1.0,,
HdlOp-MemberAccessing-HdlOp-TERNARY,,1.0,1.0,1.0
HdlOp-InfixExpression-HdlIdDef,,1.0,,10.0
HdlOp-FunctionCall-HdlOp-MemberAccessing,,10.0,,
HdlOp-InfixExpression-HdlOp-FunctionCall,,10.0,,
HdlOp-MAP_ASSOCIATION-HdlOp-MAP_ASSOCIATION,,1.0,,
HdlOp-MemberAccessing-HdlStmCase,,5.0,,4.0
HdlOp-MemberAccessing-HdlOp-TO,,,4.0,
