,insert,update,move,delete
HdlOp-MAP_ASSOCIATION-HdlStmReturn,5.0,4.0,,
HdlOp-InfixExpression-HdlStmIf,16.0,25.0,8.0,11.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,4.0,3.0,,3.0
HdlOp-MAP_ASSOCIATION-HdlOp-FunctionCall,1.0,,,
HdlDirection-HdlIdDef,12.0,14.0,,1.0
HdlOp-MemberAccessing-HdlStmAssign,5.0,20.0,7.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,5.0,9.0,1.0,1.0
HdlOp-FunctionCall-HdlStmAssign,2.0,1.0,,
HdlOp-MemberAccessing-HdlOp-FunctionCall,14.0,22.0,1.0,5.0
HdlOp-MemberAccessing-HdlStmReturn,1.0,11.0,1.0,1.0
HdlOp-TO-HdlStmForIn,4.0,8.0,2.0,
HdlOp-InfixExpression-HdlOp-TO,1.0,11.0,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,20.0,74.0,18.0,14.0
HdlOp-PrefixExpression-HdlStmWhile,4.0,,,
HdlOp-FunctionCall-HdlStmWhile,4.0,1.0,,
HdlOp-FunctionCall-HdlFunctionDef,11.0,12.0,,2.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,1.0,12.0,3.0,2.0
HdlOp-FunctionCall-HdlStmIf,4.0,30.0,20.0,5.0
HdlOp-FunctionCall-HdlModuleDef,4.0,,,1.0
HdlOp-FunctionCall-HdlOp-FunctionCall,1.0,2.0,,
HdlOp-MemberAccessing-HdlStmForIn,3.0,,,
HdlOp-FunctionCall-HdlStmProcess,1.0,2.0,,
HdlOp-InfixExpression-HdlStmAssign,1.0,5.0,1.0,
HdlOp-MemberAccessing-HdlOp-TO,1.0,3.0,,
HdlOp-MemberAccessing-HdlIdDef,3.0,110.0,3.0,5.0
HdlOp-TO-HdlOp-MemberAccessing,1.0,9.0,,2.0
HdlOp-InfixExpression-HdlOp-FunctionCall,3.0,2.0,,
HdlOp-FunctionCall-HdlStmForIn,,11.0,,
HdlOp-InfixExpression-HdlIdDef,,2.0,,1.0
HdlOp-RANGE-HdlIdDef,,1.0,,
HdlOp-TO-HdlOp-RANGE,,1.0,,
HdlOp-PrefixExpression-HdlStmWait,,2.0,1.0,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,,7.0,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,,2.0,,
HdlOp-PrefixExpression-HdlStmIf,,5.0,,1.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,,1.0,,
HdlOp-InfixExpression-HdlOp-DOWNTO,,2.0,,
HdlOp-MemberAccessing-HdlOp-MAP_ASSOCIATION,,,1.0,
HdlOp-MemberAccessing-HdlStmIf,,,1.0,
