,update,move,delete,insert
HdlOp-Assignment-HdlStmIf,668.0,219.0,199.0,223.0
HdlOp-InfixExpression-HdlOp-Assignment,201.0,17.0,2.0,34.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,36.0,21.0,12.0,14.0
HdlOp-InfixExpression-HdlStmAssign,153.0,15.0,41.0,27.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,81.0,24.0,47.0,72.0
HdlOp-PARAMETRIZATION-HdlIdDef,83.0,4.0,4.0,28.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,55.0,,4.0,3.0
HdlOp-InfixExpression-HdlOp-DOWNTO,19.0,,11.0,4.0
HdlOp-RISING-HdlStmProcess,7.0,,,
HdlOp-TERNARY-HdlOp-Assignment,489.0,9.0,5.0,119.0
HdlOp-InfixExpression-HdlOp-TERNARY,143.0,18.0,11.0,79.0
HdlOp-MemberAccessing-HdlOp-Assignment,352.0,49.0,56.0,56.0
HdlOp-Assignment-HdlStmCase,1646.0,893.0,921.0,1061.0
HdlOp-FunctionCall-HdlOp-Assignment,5.0,,2.0,3.0
HdlOp-InfixExpression-HdlOp-PrefixExpression,5.0,,5.0,
HdlOp-Assignment-HdlStmProcess,59.0,64.0,862.0,1464.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,430.0,36.0,107.0,20.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,63.0,17.0,48.0,22.0
HdlOp-PrefixExpression-HdlStmIf,27.0,22.0,5.0,7.0
HdlOp-InfixExpression-HdlStmIf,361.0,115.0,77.0,85.0
HdlOp-InfixExpression-HdlOp-InfixExpression,559.0,74.0,75.0,151.0
HdlOp-InfixExpression-HdlStmCase,90.0,30.0,5.0,22.0
HdlOp-MemberAccessing-HdlIdDef,44.0,6.0,11.0,7.0
HdlOp-TERNARY-HdlStmAssign,67.0,6.0,8.0,11.0
HdlOp-MemberAccessing-HdlStmAssign,56.0,23.0,15.0,8.0
HdlDirection-HdlIdDef,47.0,,12.0,3.0
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,7.0,5.0,8.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,18.0,6.0,,7.0
HdlOp-Assignment-HdlStmFor,2.0,2.0,,
HdlOp-MAP_ASSOCIATION-HdlOp-Assignment,44.0,,,
HdlOp-MemberAccessing-HdlOp-MAP_ASSOCIATION,38.0,,,
HdlOp-FunctionCall-HdlOp-MAP_ASSOCIATION,6.0,,,
HdlOp-MemberAccessing-HdlOp-FunctionCall,36.0,3.0,24.0,10.0
HdlOp-FALLING-HdlStmProcess,3.0,,,
HdlOp-MemberAccessing-HdlOp-FALLING,3.0,,3.0,
HdlOp-FunctionCall-HdlStmProcess,9.0,,2.0,
HdlOp-FunctionCall-HdlStmIf,15.0,9.0,5.0,3.0
HdlOp-FunctionCall-HdlOp-InfixExpression,9.0,7.0,1.0,6.0
HdlOp-PrefixExpression-HdlOp-TERNARY,210.0,,,150.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,20.0,7.0,2.0,14.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,2.0,,,2.0
HdlOp-MAP_ASSOCIATION-HdlStmAssign,3.0,,2.0,4.0
HdlOp-TERNARY-HdlOp-InfixExpression,1.0,,,1.0
HdlOp-TERNARY-HdlIdDef,4.0,,,
HdlOp-TERNARY-HdlOp-TERNARY,8.0,,1.0,2.0
HdlOp-TERNARY-HdlOp-MemberAccessing,3.0,,,3.0
HdlOp-InfixExpression-HdlIdDef,4.0,,,
HdlOp-FunctionCall-HdlOp-TERNARY,1.0,,,
HdlOp-FunctionCall-HdlOp-FunctionCall,2.0,3.0,2.0,
HdlOp-PrefixExpression-HdlOp-Assignment,1.0,,,27.0
HdlOp-InfixExpression-HdlStmWhile,1.0,1.0,,1.0
HdlOp-MemberAccessing-HdlStmCase,1.0,6.0,1.0,1.0
HdlOp-PrefixExpression-HdlOp-MemberAccessing,2.0,,1.0,1.0
HdlOp-Assignment-HdlStmWhile,,2.0,1.0,6.0
HdlOp-FunctionCall-HdlStmCase,,3.0,,1.0
HdlOp-MemberAccessing-HdlStmIf,,,12.0,24.0
HdlOp-InfixExpression-HdlStmFor,,,2.0,2.0
HdlOp-PrefixExpression-HdlStmFor,,,,1.0
HdlOp-FunctionCall-HdlStmWhile,,,,1.0
HdlOp-InfixExpression-HdlOp-FunctionCall,,,,2.0
