,insert,update,move,delete
HdlOp-RISING-HdlStmProcess,2.0,3.0,,
HdlOp-PARAMETRIZATION-HdlIdDef,4.0,35.0,2.0,2.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,4.0,10.0,,
HdlOp-MemberAccessing-HdlOp-Assignment,2.0,11.0,5.0,6.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,8.0,69.0,1.0,2.0
HdlOp-FunctionCall-HdlIdDef,4.0,7.0,1.0,
HdlOp-FunctionCall-HdlOp-TERNARY,4.0,3.0,1.0,
HdlOp-MemberAccessing-HdlStmAssign,3.0,20.0,4.0,2.0
HdlOp-TERNARY-HdlIdDef,1.0,9.0,,3.0
HdlDirection-HdlIdDef,3.0,6.0,1.0,5.0
HdlOp-InfixExpression-HdlOp-TERNARY,4.0,30.0,9.0,11.0
HdlOp-TERNARY-HdlOp-TERNARY,1.0,6.0,,2.0
HdlOp-InfixExpression-HdlOp-FunctionCall,1.0,4.0,,1.0
HdlOp-InfixExpression-HdlOp-DOWNTO,4.0,7.0,1.0,1.0
HdlOp-TERNARY-HdlOp-InfixExpression,1.0,5.0,,
HdlOp-FunctionCall-HdlOp-InfixExpression,4.0,9.0,,3.0
HdlOp-MemberAccessing-HdlIdDef,9.0,43.0,3.0,1.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,9.0,12.0,1.0,2.0
HdlOp-InfixExpression-HdlStmIf,2.0,12.0,6.0,3.0
HdlOp-InfixExpression-HdlStmFor,2.0,4.0,1.0,3.0
HdlOp-PrefixExpression-HdlStmFor,2.0,2.0,1.0,1.0
HdlOp-TERNARY-HdlStmAssign,2.0,19.0,,5.0
HdlOp-PrefixExpression-HdlStmAssign,1.0,5.0,3.0,
HdlOp-InfixExpression-HdlIdDef,2.0,2.0,3.0,
HdlOp-InfixExpression-HdlOp-MemberAccessing,1.0,3.0,1.0,3.0
HdlOp-InfixExpression-HdlOp-InfixExpression,2.0,26.0,4.0,4.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,1.0,,,
HdlOp-InfixExpression-HdlStmAssign,4.0,17.0,2.0,1.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,3.0,5.0,,2.0
HdlOp-Assignment-HdlFunctionDef,2.0,3.0,,1.0
HdlOp-Assignment-HdlStmIf,3.0,34.0,8.0,15.0
HdlOp-MemberAccessing-HdlOp-TERNARY,1.0,4.0,,1.0
HdlOp-InfixExpression-HdlOp-Assignment,,13.0,4.0,1.0
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,,5.0,,
HdlOp-PrefixExpression-HdlStmIf,,2.0,,
HdlOp-TERNARY-HdlOp-Assignment,,4.0,1.0,
HdlOp-FunctionCall-HdlStmAssign,,10.0,,1.0
HdlOp-MemberAccessing-HdlOp-FunctionCall,,9.0,,
HdlOp-TERNARY-HdlOp-DOWNTO,,1.0,,1.0
HdlOp-Assignment-HdlStmFor,,3.0,1.0,2.0
HdlOp-InfixExpression-HdlOp-PrefixExpression,,4.0,,
HdlOp-PrefixExpression-HdlOp-TERNARY,,1.0,1.0,
HdlOp-Assignment-HdlStmProcess,,1.0,,5.0
HdlOp-PrefixExpression-HdlOp-Assignment,,3.0,1.0,
HdlOp-MemberAccessing-HdlOp-PrefixExpression,,2.0,,
HdlOp-FunctionCall-HdlOp-MemberAccessing,,,1.0,
