,update,insert,move,delete
HdlOp-InfixExpression-HdlStmAssign,75.0,15.0,14.0,15.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,14.0,10.0,5.0,12.0
HdlOp-PARAMETRIZATION-HdlIdDef,25.0,21.0,,1.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,9.0,6.0,,2.0
HdlOp-Assignment-HdlStmIf,121.0,58.0,42.0,29.0
HdlOp-InfixExpression-HdlStmIf,85.0,24.0,17.0,14.0
HdlOp-Assignment-HdlStmCase,109.0,110.0,45.0,29.0
HdlOp-FunctionCall-HdlOp-Assignment,32.0,6.0,1.0,4.0
HdlOp-MemberAccessing-HdlOp-FunctionCall,14.0,7.0,,13.0
HdlOp-FunctionCall-HdlOp-MemberAccessing,11.0,4.0,,7.0
HdlOp-TERNARY-HdlStmAssign,29.0,2.0,2.0,3.0
HdlOp-MemberAccessing-HdlOp-TERNARY,11.0,,2.0,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,46.0,13.0,3.0,9.0
HdlOp-InfixExpression-HdlOp-InfixExpression,113.0,42.0,20.0,22.0
HdlOp-Assignment-HdlStmProcess,188.0,116.0,60.0,35.0
HdlOp-MAP_ASSOCIATION-HdlStmAssign,15.0,4.0,,1.0
HdlOp-MemberAccessing-HdlOp-MAP_ASSOCIATION,4.0,2.0,,
HdlOp-MemberAccessing-HdlOp-Assignment,116.0,16.0,4.0,4.0
HdlOp-PrefixExpression-HdlStmAssign,9.0,8.0,,10.0
HdlOp-InfixExpression-HdlOp-PrefixExpression,82.0,,,
HdlOp-InfixExpression-HdlOp-Assignment,12.0,2.0,6.0,
HdlOp-MemberAccessing-HdlStmCase,5.0,1.0,1.0,4.0
HdlOp-MemberAccessing-HdlIdDef,14.0,3.0,1.0,2.0
HdlOp-MAP_ASSOCIATION-HdlOp-Assignment,5.0,4.0,,
HdlOp-FunctionCall-HdlOp-MAP_ASSOCIATION,7.0,,,3.0
HdlOp-InfixExpression-HdlIdDef,3.0,1.0,6.0,
HdlOp-TERNARY-HdlOp-TERNARY,5.0,1.0,,
HdlOp-PrefixExpression-HdlOp-Assignment,81.0,3.0,,
HdlOp-PARAMETRIZATION-HdlFunctionDef,1.0,1.0,,
HdlOp-DOWNTO-HdlOp-MemberAccessing,14.0,7.0,,7.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,8.0,4.0,1.0,1.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,15.0,10.0,11.0,4.0
HdlOp-FunctionCall-HdlStmAssign,1.0,,,1.0
HdlOp-PrefixExpression-HdlStmIf,10.0,2.0,,2.0
HdlOp-TERNARY-HdlOp-Assignment,27.0,12.0,,
HdlDirection-HdlIdDef,5.0,9.0,,8.0
HdlOp-MemberAccessing-HdlStmAssign,10.0,3.0,13.0,3.0
HdlOp-InfixExpression-HdlOp-TERNARY,15.0,5.0,2.0,2.0
HdlOp-InfixExpression-HdlOp-DOWNTO,8.0,1.0,2.0,
HdlOp-Assignment-HdlStmFor,13.0,2.0,,
HdlOp-FunctionCall-HdlOp-InfixExpression,6.0,4.0,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,13.0,4.0,,
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,1.0,,,2.0
HdlOp-InfixExpression-HdlStmCase,2.0,1.0,,
HdlOp-RISING-HdlStmProcess,2.0,,,
HdlOp-FALLING-HdlStmProcess,2.0,1.0,,
HdlOp-Assignment-HdlFunctionDef,3.0,2.0,1.0,
HdlOp-PrefixExpression-HdlOp-TERNARY,5.0,1.0,,2.0
HdlOp-MemberAccessing-HdlStmIf,1.0,5.0,1.0,
HdlOp-InfixExpression-HdlStmFor,2.0,1.0,1.0,
HdlOp-InfixExpression-HdlStmWhile,1.0,1.0,1.0,
HdlOp-PrefixExpression-HdlStmWhile,1.0,,,
HdlOp-PrefixExpression-HdlOp-PrefixExpression,2.0,,,
HdlOp-FunctionCall-HdlOp-PrefixExpression,1.0,1.0,,
HdlOp-InfixExpression-HdlOp-FunctionCall,1.0,1.0,1.0,
HdlOp-MAP_ASSOCIATION-HdlOp-PARAMETRIZATION,,3.0,,
HdlOp-PrefixExpression-HdlStmFor,,1.0,,
HdlOp-Assignment-HdlStmWhile,,1.0,,
HdlOp-FunctionCall-HdlStmCase,,,2.0,
HdlOp-FunctionCall-HdlStmIf,,,1.0,
