,update,insert,move,delete
HdlOp-Assignment-HdlStmCase,188.0,59.0,59.0,40.0
HdlOp-TERNARY-HdlOp-Assignment,106.0,48.0,7.0,1.0
HdlOp-PrefixExpression-HdlOp-TERNARY,10.0,4.0,1.0,4.0
HdlOp-TERNARY-HdlOp-TERNARY,34.0,6.0,5.0,3.0
HdlOp-InfixExpression-HdlStmAssign,213.0,30.0,39.0,23.0
HdlOp-MemberAccessing-HdlStmAssign,72.0,13.0,50.0,10.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,167.0,49.0,14.0,17.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,92.0,27.0,14.0,46.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,24.0,6.0,2.0,5.0
HdlOp-InfixExpression-HdlOp-InfixExpression,399.0,74.0,40.0,48.0
HdlOp-InfixExpression-HdlOp-TERNARY,44.0,34.0,10.0,8.0
HdlOp-InfixExpression-HdlStmIf,303.0,68.0,32.0,20.0
HdlOp-Assignment-HdlStmProcess,221.0,128.0,6.0,47.0
HdlOp-FunctionCall-HdlOp-Assignment,75.0,3.0,41.0,10.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,65.0,77.0,76.0,21.0
HdlOp-Assignment-HdlStmIf,225.0,63.0,37.0,26.0
HdlOp-MemberAccessing-HdlOp-Assignment,77.0,15.0,2.0,1.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,47.0,7.0,3.0,6.0
HdlOp-PARAMETRIZATION-HdlIdDef,159.0,84.0,12.0,77.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,45.0,7.0,,6.0
HdlOp-PrefixExpression-HdlStmAssign,19.0,3.0,16.0,3.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,16.0,14.0,,8.0
HdlDirection-HdlIdDef,15.0,18.0,,24.0
HdlOp-MemberAccessing-HdlOp-TERNARY,35.0,54.0,7.0,3.0
HdlOp-PrefixExpression-HdlOp-Assignment,59.0,2.0,,
HdlOp-InfixExpression-HdlOp-PrefixExpression,57.0,,,
HdlOp-MemberAccessing-HdlIdDef,54.0,30.0,9.0,13.0
HdlOp-TERNARY-HdlStmAssign,111.0,26.0,7.0,11.0
HdlOp-InfixExpression-HdlOp-Assignment,44.0,7.0,4.0,16.0
HdlOp-FunctionCall-HdlOp-InfixExpression,81.0,16.0,16.0,16.0
HdlOp-MemberAccessing-HdlOp-FunctionCall,21.0,4.0,,1.0
HdlOp-PrefixExpression-HdlStmIf,16.0,6.0,14.0,
HdlOp-MAP_ASSOCIATION-HdlOp-Assignment,2.0,4.0,,
HdlOp-FunctionCall-HdlOp-MAP_ASSOCIATION,3.0,3.0,,
HdlOp-MAP_ASSOCIATION-HdlStmAssign,8.0,2.0,1.0,1.0
HdlOp-FunctionCall-HdlIdDef,9.0,1.0,3.0,
HdlOp-InfixExpression-HdlOp-FunctionCall,17.0,4.0,2.0,1.0
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,6.0,,4.0,2.0
HdlOp-InfixExpression-HdlOp-DOWNTO,31.0,6.0,1.0,6.0
HdlOp-InfixExpression-HdlStmFor,8.0,3.0,2.0,1.0
HdlOp-TERNARY-HdlOp-InfixExpression,3.0,1.0,,1.0
HdlOp-InfixExpression-HdlStmWait,8.0,,,
HdlOp-FunctionCall-HdlStmAssign,14.0,2.0,2.0,
HdlOp-PrefixExpression-HdlStmFor,1.0,4.0,1.0,
HdlOp-MemberAccessing-HdlStmIf,4.0,5.0,4.0,1.0
HdlOp-FunctionCall-HdlStmProcess,2.0,,,1.0
HdlOp-FunctionCall-HdlOp-TERNARY,10.0,,,
HdlOp-InfixExpression-HdlIdDef,12.0,6.0,15.0,1.0
HdlOp-PARAMETRIZATION-HdlFunctionDef,1.0,1.0,,
HdlOp-MemberAccessing-HdlStmCase,4.0,,,4.0
HdlOp-FALLING-HdlStmProcess,6.0,,,
HdlOp-FunctionCall-HdlStmIf,1.0,,,1.0
HdlOp-MemberAccessing-HdlStmReturn,2.0,,,
HdlOp-MAP_ASSOCIATION-HdlOp-PARAMETRIZATION,,7.0,,64.0
HdlOp-FunctionCall-HdlStmCase,,,9.0,
HdlOp-MAP_ASSOCIATION-HdlIdDef,,,,2.0
HdlOp-Assignment-HdlStmFor,,,,1.0
